epoch,epoch_time,step,test_accuracy,test_loss,train_loss,val_accuracy,val_loss
0,,24,,,2.3007845878601074,,
0,,49,,,2.30068302154541,,
0,,74,,,2.303041934967041,,
0,,99,,,2.3038671016693115,,
0,,124,,,2.3101465702056885,,
0,,149,,,2.2859604358673096,,
0,,174,,,2.2879798412323,,
0,,199,,,2.2915468215942383,,
0,,214,,,,16.219999313354492,2.2817015647888184
0,5.364805698394775,214,,,,,
1,,224,,,2.2948288917541504,,
1,,249,,,2.2556228637695312,,
1,,274,,,2.2567567825317383,,
1,,299,,,2.266948699951172,,
1,,324,,,2.279482364654541,,
1,,349,,,2.259956121444702,,
1,,374,,,2.2749686241149902,,
1,,399,,,2.279778003692627,,
1,,424,,,2.274660110473633,,
1,,429,,,,17.459999084472656,2.2592110633850098
1,5.37943696975708,429,,,,,
2,,449,,,2.281073570251465,,
2,,474,,,2.2896530628204346,,
2,,499,,,2.257495880126953,,
2,,524,,,2.251919984817505,,
2,,549,,,2.300273895263672,,
2,,574,,,2.2409799098968506,,
2,,599,,,2.253024101257324,,
2,,624,,,2.2519142627716064,,
2,,644,,,,18.020000457763672,2.2484374046325684
2,5.223532199859619,644,,,,,
3,,649,,,2.2834837436676025,,
3,,674,,,2.249023199081421,,
3,,699,,,2.2375171184539795,,
3,,724,,,2.257444381713867,,
3,,749,,,2.266799211502075,,
3,,774,,,2.2678208351135254,,
3,,799,,,2.2621967792510986,,
3,,824,,,2.2267231941223145,,
3,,849,,,2.235285997390747,,
3,,859,,,,18.3799991607666,2.2415378093719482
3,5.215679168701172,859,,,,,
4,,874,,,2.2301523685455322,,
4,,899,,,2.2305679321289062,,
4,,924,,,2.240805149078369,,
4,,949,,,2.234470844268799,,
4,,974,,,2.2333335876464844,,
4,,999,,,2.225759506225586,,
4,,1024,,,2.2257542610168457,,
4,,1049,,,2.251187801361084,,
4,,1074,,,2.2232613563537598,,
4,,1074,,,,18.8799991607666,2.2362585067749023
4,5.246877670288086,1074,,,,,
5,,1075,18.93000030517578,2.2392616271972656,,,
